Words,Count
his,237
fortunate,3
grace,8
chapter,27
i,790
are,143
you,480
quite,27
sure,20
mr,61
forbes,133
laid,4
down,40
newspaper,2
and,837
looked,47
with,251
slightly,6
extended,1
mouth,7
at,127
daughter,21
who,65
leaned,5
forward,9
in,374
an,100
attitude,2
of,708
suppressed,1
energy,2
her,401
hands,24
clasped,4
on,131
the,1298
edge,4
breakfasttable,1
heiress,4
many,28
millions,13
was,310
not,224
handsome,2
features,5
were,115
large,15
complexion,1
dull,4
but,231
she,419
had,237
carriage,5
‘air,1
new,42
york,32
girl,17
fashion,4
wore,9
a,651
french,3
morningtoilette,1
which,52
would,93
have,254
ameliorated,1
gorgon,1
papa,24
suppose,31
studied,2
question,5
exhaustively,1
oh,33
yes,14
indeed,13
read,18
karl,2
marx,2
henry,1
george,4
lot,8
others,11
forgotten,2
that,450
belong,3
to,719
club,3
girls,18
aspire,1
be,180
something,36
more,78
than,48
fashionable,3
butterflies,2
we,156
together,21
also,13
positive,5
wish,27
me,140
divide,1
my,110
fortune,5
fellowmen,1
deprive,1
pleasant,1
position,10
perfectly,8
firmly,2
it,336
is,298
terrible,7
think,59
starving,1
thousands,3
feel,27
duty,5
tell,27
if,119
do,97
this,94
yourself,7
shallwhenwhenbut,1
cannot,19
even,17
no,88
don’t,85
worry,3
about,54
i’m,11
good,57
for,210
twenty,8
or,65
thirty,9
years,25
yet,16
handsomest,1
most,26
distinguishedlooking,2
man,87
thanks,4
proceed,3
should,69
say,31
likely,2
several,15
things,14
meanwhile,3
know,63
shall,50
take,33
trouble,6
alter,1
will,97
still,6
maythat,1
unless,10
convert,5
convinced,3
women,33
vote,6
am,118
all,117
arguments,1
against,8
i’ve,8
heard,8
everything,9
see,41
get,33
can,55
bring,10
socialism,18
easily,2
without,25
slightest,5
difficulty,1
considering,1
homogeneity,1
feminine,3
mind,14
darling,4
sarcastic,1
thing,31
can’t,28
what,98
weight,4
such,27
as,221
interesting,5
cause,5
must,62
carefully,1
excluded,1
nouveau,2
riche,1
only,51
very,68
oldest,1
notable,3
names,4
our,46
petition,4
when,66
up,61
going,16
well,65
let,17
pass,3
present,8
fall,1
love,36
want,32
marry,28
him,149
intend,4
make,46
lifedo,1
wealth,9
disposal,1
he,366
does,19
sympathize,1
agree,4
plans,2
go,50
woman’s,7
chief,3
end,15
matrimony,2
need,9
ask,10
ever,26
been,74
course,19
dreadfully,3
doeven,1
advanced,3
womennow,1
so,112
smile,3
like,66
twentyone,1
old,25
has,70
highly,1
educated,2
travelled,1
out,68
two,36
right,11
call,14
myself,14
because,15
gone,7
deliberately,1
into,38
race,2
great,37
deal,6
accomplished,1
nothing,30
exactly,2
how,39
much,48
worth,11
broadly,1
speaking,3
railroad,2
other,28
stock,3
liable,1
less,13
any,44
day,26
land,6
reasonably,2
fair,3
amount,3
give,30
some,29
least,7
poor,18
dear,25
peoplei,1
assure,1
taken,13
them,56
under,9
wing,1
grown,1
sentimental,1
over,62
once,36
man’s,7
baggy,1
knees,3
fascinate,2
magnificently,2
earnest,6
scolded,1
us,43
being,15
rich,4
meeting,6
loved,11
relief,2
married,13
your,94
allowance,3
ten,6
thousand,14
dollars,8
year,9
please,8
come,57
fads,6
whims,1
demand,1
god,11
forbid,2
stand,11
way,22
happiness,6
by,60
mother,22
business,7
unsympathetic,1
imagine,5
said,123
drily,3
cleverest,2
woman,49
ii,2
after,26
luncheon,1
miss,54
hied,1
herself,32
drawingroom,7
behalf,1
despite,4
fact,5
elected,1
rôle,2
mental,4
muscularity,1
gave,16
studious,1
application,1
attire,1
pertained,1
enduring,1
religion,1
interests,1
flashing,1
seasons,1
unconsciously,3
patronised,2
rather,13
assimilated,1
walked,9
avenue,7
toward,9
house,21
friend,11
mrs,68
latimer,6
burr,21
wellgrown,2
lad,1
masquerading,1
smart,5
outfit,1
brown,3
tweed,1
erect,1
soldierly,1
independent,4
little,38
stride,2
bunch,1
violets,1
pinned,1
muff,2
another,12
throat,4
severe,2
toque,1
instead,4
picturehat,1
usually,6
affected,2
smiled,8
swung,1
along,3
one,76
back,24
sighed,2
happy,14
never,52
known,9
ungratified,1
spoken,8
newspapers,5
few,24
intellectual,6
young,19
society,8
now,42
really,18
serious,6
object,3
life,43
felt,19
spasms,1
gratification,1
born,4
set,13
world,15
rightsshe,1
selfish,2
grudged,1
share,1
honours,1
reached,7
burr’s,4
high,6
overlooking,1
naked,1
trees,1
glittering,2
white,17
park,1
found,6
toilettes,1
time,41
hers,3
friends,9
complimented,1
occasion,2
punctuality,1
commended,1
envy,6
scene,1
operations,1
marvellous,1
combination,1
every,18
pale,11
colour,14
nature,14
art,2
expectant,2
whitewigged,1
dames,1
sparkling,2
satin,6
diamonds,4
tripping,1
mazes,1
minuet,1
gentlemen,3
courtly,1
their,44
dress,4
colourous,1
halfdozen,4
extremely,2
hoary,1
nineteenth,1
century,2
sat,19
group,3
talking,7
fast,2
seals,1
rock,1
slim,1
hostess,4
compactly,1
gowned,4
pearlgrey,1
cloth,1
sleek,1
head,28
dressed,6
moment,26
came,26
lorgnette,5
held,6
close,6
eyes,42
augusta,87
prompt,1
kissing,5
lightly,7
could,51
frightfully,4
rest,10
help,3
feeling,2
it’s,20
jolly,6
larkperhaps,1
that’s,11
effect,8
exsisterinlaw,1
patience,1
sparhawk,1
says,14
playing,2
alive,3
seventeen,1
different,5
experiences,2
before,36
twentyfour,2
including,2
sojourn,1
murders,1
row,2
frantic,1
affair,3
one’s,1
own,15
husband,16
hal,6
through,23
interrupted,1
ears,2
pricking,1
girlish,2
curiosity,1
eccentric,1
look,20
oldor,1
she’s,8
briefly,1
you’ll,6
meet,8
odd,2
happened,2
weren’t,1
awhile,3
hardly,4
taste,2
wanted,7
interestingly,1
dreadful,8
family,3
just,25
seriously,5
reason,9
doesn’t,10
waste,2
here,33
someone,3
else,5
itoh,1
mary,5
gallatin,3
joined,1
where,9
mabel,47
creighton,40
demanded,5
thought,36
coming,5
haven’t,8
air,6
elaborate,1
indifference,3
drew,5
eyelids,2
focus,1
entering,1
duke,86
bosworth,26
arrives,1
today,12
stayed,4
home,19
receive,5
mean,15
there,67
same,16
name,5
aire,5
castleand,2
othersof,1
west,3
riding,1
district,1
craven,1
county,1
yorkshire,1
england,13
five,8
titles,4
believe,22
enjoys,1
honour,7
friendship,1
fletcher,25
cuyler,18
met,7
abroad,3
got,11
wrote,3
arrive,1
hospitable,1
stay,8
they,86
engaged,4
angel,1
idea,6
whether,5
always,20
flirtation,1
somebody,2
funny,8
quiet,3
kept,3
goodlookingorwell,1
merely,7
mentioned,1
seen,11
photograph,3
she’d,2
lovely,12
bride,3
exquisite,2
tastest,1
thomas,1
dream,1
he’ll,5
wear,1
grey,6
suit,3
trousers,1
turned,15
pink,12
shirt,1
hope,16
won’t,17
walk,4
big,8
black,5
cigar,2
talk,13
asked,14
severely,2
difference,4
foreign,5
titled,2
looks,9
discuss,8
exterminate,1
entire,2
order,6
true,4
exclaimed,12
darkhaired,1
mainly,1
responsible,1
reputation,3
albeit,2
exempt,2
from,48
witchery,1
stop,5
gossiping,1
attend,1
expected,2
speak,13
collect,1
thoughts,3
alex,9
admiringly,1
wouldn’t,13
matter,17
loose,1
prepared,1
speech,8
mine,5
heart,11
frightened,1
father,21
we’ve,1
talked,7
agrees,1
laughed,4
consciously,1
probably,6
points,2
similarity,1
firm,1
simplicity,2
arrived,4
seated,6
double,1
semicircle,1
alert,2
drifted,1
aimlessly,2
then,30
paused,6
table,7
tapped,2
smartly,3
may,26
begin,4
theathe,1
advisability,1
having,8
votefranchise,1
maitland,18
thoroughly,6
digested,1
both,6
subjects,1
kindly,4
consented,1
dr,3
broadhead,3
later,9
scoldings,1
alexandra,4
open,5
ball,2
incorrigible,1
drawing,1
dark,3
brows,2
might,12
pretend,3
lend,1
delighted,7
managed,1
cleverly,1
flouted,1
alexis,3
scold,1
cry,3
i’ll,15
seriousi,1
swear,1
admire,2
death,2
poetry,2
adorable,1
ideas,2
decorating,1
professional,1
fence,1
real,6
amazon,1
