Words,Count
introduction,4
fielding’s,7
third,17
great,444
novel,2
has,21
been,511
the,10237
subject,48
of,6018
much,505
more,591
discordant,1
judgments,2
than,576
either,64
its,80
forerunners,2
if,807
we,559
take,150
period,9
since,154
appearance,34
as,1862
covering,3
four,18
generations,1
find,79
greatest,70
authority,13
in,3494
earliest,2
johnson,5
speaking,15
it,2190
with,2017
something,69
nearly,2
approaching,5
to,6776
enthusiasm,1
he,3057
allowed,17
himself,268
reference,1
any,764
other,369
work,19
an,677
author,49
whom,245
was,2569
on,967
whole,174
so,1014
unjust,7
man,537
letters,9
next,117
generation,3
scott,2
whose,77
attitude,1
fielding,9
rather,105
undecided,1
and,5328
seems,29
speak,70
a,4376
mixture,3
intellectual,1
admiration,19
moral,6
dislike,22
or,480
at,1362
least,191
failure,3
sympathy,1
pronounces,1
unpleasing,2
regards,5
chiefly,21
sequel,3
tom,18
jones,6
showing,2
what,740
is,1658
be,1434
expected,41
libertine,2
thoughtless,4
husband,282
but,1319
too,283
enthusiastic,2
over,92
heroine,5
thackeray,1
this,1466
special,2
connection,1
rate,6
scarcely,1
call,82
overflows,1
predilection,1
for,2126
would,775
seem,20
because,29
his,2146
affection,56
amelia,890
herself,162
which,1843
practically,1
agrees,2
invidious,2
noways,1
needful,1
single,27
out,303
critic,8
our,328
own,341
time,370
place,125
beside,5
these,257
men,140
cannot,134
denied,8
that,2768
book,39
now,526
always,112
incurred,2
considerable,14
amount,6
hinted,10
fault,26
hesitated,13
even,105
mr,343
dobson,1
notes,6
some,522
things,84
unsatisfactory,2
gosse,1
evident,2
consciousness,3
temerity,1
ventures,1
ask,89
whether,66
not,2013
little,496
dull,9
very,889
absence,29
episodes,1
ground,13
miss,217
matthews’s,8
story,61
closely,4
connected,2
main,5
action,14
fairly,9
called,86
episode,1
introductory,1
dissertations,1
brought,87
against,118
presence,35
i,5478
have,1611
sometimes,68
wondered,10
pays,2
penalty,1
audacity,1
priori,1
most,353
unfavourable,3
critics,9
indignantly,1
deny,22
begins,6
instead,34
ending,2
marriagebells,1
though,320
after,303
novels,1
exhausted,2
indignation,15
satire,6
folly,19
insisting,5
finale,1
doubt,69
demand,12
deeply,7
rooted,1
english,10
nay,151
human,65
mind,172
safely,3
neglected,3
essence,2
all,1014
romance,1
quest,5
perennially,1
universally,4
interesting,4
wife,270
mistress,66
chapters,2
dealing,1
comes,14
later,5
inevitable,3
flavour,1
tameness,1
day,193
feast,3
common,36
nowadays,1
meet,33
anybody,4
who,691
thinks,11
tommy,2
moore,1
poet,14
one,547
encounter,3
suspicion,56
philistinism,1
paradox,3
tries,1
vindicate,1
him,1337
due,24
poetical,2
hierarchy,1
yet,201
suspect,41
no,772
ever,308
put,99
into,403
words,124
universal,4
criticism,2
life,142
did,319
when,571
wrote,14
saw,82
from,836
beach,1
give,202
me,1394
back,49
wild,2
freshness,1
morningher,1
smiles,4
her,2247
tears,63
are,583
worth,64
evening’s,2
best,112
light,58
discard,1
fallacy,2
boldly,4
ourselves,30
good,359
joseph,6
andrews,3
shall,253
think,427
inclined,16
answer,87
affirmative,4
negative,8
perhaps,207
easy,41
characters,12
theirs,4
defects,3
blifil,1
allworthy,3
say,255
them,342
charm,2
personages,4
earlier,6
books,10
idolaters,1
course,10
exclaim,2
sentence,7
amiable,13
lady,291
am,649
myself,201
by,848
means,86
disposed,6
rank,22
amiability,1
low,22
scale,4
excellent,31
woman,233
she,1829
namesake,1
spiritual,3
granddaughter,1
sedley,1
must,343
fear,59
pronounced,4
fool,22
there,386
really,97
milk,2
kindness,26
unrefreshed,1
unrelieved,1
mawkishness,1
rum,2
whisky,1
frailty,4
could,486
better,122
pardoned,2
forgiveness,13
had,1989
first,231
conscious,10
forgive,34
second,62
romantic,5
attachment,5
son,29
homme,1
handsome,30
broad,2
shoulders,5
sweet,20
temper,27
father,82
children,156
enough,97
see,183
booth,1154
qualities,13
imagination,7
mean,87
reach,13
cavil,1
compare,4
imogen,1
difference,12
will,886
felt,35
prose,2
writer,16
writing,13
london,13
eighteenth,1
century,1
while,113
shakespeare,5
space,2
comparison,5
luminous,1
ways,10
do,549
scheme,4
novelist,1
set,84
here,183
can,439
accused,12
vivid,2
minor,2
sketches,1
may,349
dr,36
harrison,43
perfect,36
ethical,1
faults,16
merit,45
defect,7
quite,19
art,45
alternate,1
persecution,1
patronage,1
useful,6
repeat,19
blot,3
individually,1
natural,21
indeed,626
like,115
bred,6
less,63
crotchety,1
blessed,6
health,39
matthews,144
scenes,17
touches,2
greatness,5
thousand,42
french,12
novelists,1
lavishing,1
candour,5
reckless,1
exaggeration,1
equalled,5
believe,276
kept,24
distance,30
during,69
trust,17
make,213
peers,1
wicked,18
said,787
peer,25
eighteenthcentury,1
writers,6
case,65
reason,126
why,157
they,464
should,437
mention,116
kor,1
policeman,1
x,7
almost,163
faint,9
type,3
goodness,74
wickedness,7
dressed,8
stars,1
ribbons,1
coachesandsix,1
only,251
swift,4
combination,1
experience,12
genius,6
given,109
us,233
live,37
lords,1
lord,133
sparkish,1
smart,2
mrs,637
ellison,196
atkinson,197
women,84
serjeant,163
touch,6
sensibility,2
harrison’s,4
country,68
friend,230
prig,1
capital,3
bondum,13
robinson,49
however,226
usual,37
detect,1
lack,1
vivacity,5
evidence,19
declining,3
years,51
certain,72
composition,2
bestow,5
upon,421
elaborating,1
previously,3
breaking,10
perfectly,32
sure,229
chronological,1
order,47
different,32
same,220
verdict,1
come,104
between,106
how,282
many,190
might,162
committed,32
such,531
youthful,1
exuberances,1
corrected,2
higher,15
adjustment,1
plot,4
character,81
arranged,2
fuller,1
craftsmanship,2
fullest,2
exemplification,1
already,71
displaying,3
maturity,1
often,100
forget,23
short,105
timein,1
fact,33
barely,8
three,73
yearspassed,1
although,1
know,463
long,157
preparation,3
extremely,68
improbable,4
temperament,1
wants,10
known,58
habits,2
history,66
once,86
finished,11
desk,1
consequently,21
few,72
months,26
interval,4
urge,2
mitigation,1
judgment,15
askhow,1
ought,64
justice,103
down,86
fallacies,1
imperfect,5
appreciation,1
facts,4
question,44
deciding,1
others,65
part,145
general,21
conception,4
supplies,1
fully,12
understand,29
without,248
derive,11
full,46
quantity,6
pleasure,68
exuberant,1
faculty,2
pleasant,14
mighty,7
vast,20
science,5
ineffable,2
irony,1
logical,1
grasp,1
jonathan,2
left,128
slight,15
sense,39
hardness,2
vague,1
desire,84
unction,1
completion,2
picture,26
possible,67
exception,3
fitzpatrick,1
determinately,1
goats,1
sheep,2
draw,19
nuances,1
project,4
mixed,5
personage,2
screen,2
atkinsonthe,1
last,186
especially,43
figure,13
finest,17
strokes,2
rule,5
insufficiently,1
done,122
purposely,3
group,1
about,122
among,42
triumphs,1
artthe,1
two,223
colonels,2
their,331
connectinglink,1
sister,71
colonel,406
bath,62
necessarily,3
united,5
suffrages,1
stagey,1
reminds,1
theatrical,1
apprenticeship,2
d’une,1
piece,10
study,5
brave,13
braggart,1
generous,40
sacrifice,13
generosity,33
bare,9
hogo,1
honour,199
admirable,5
up,221
unique,1
ordinary,16
readers,34
never,322
content,9
admit,4
bravery,5
braggadocio,1
go,165
together,120
selfish,7
pedant,5
people,68
unwilling,16
tell,128
hear,67
truth,146
wolfe,1
nelson,1
were,409
both,198
favourable,7
specimens,1
infallible,1
quiddity,1
knew,118
registered,1
amusing,1
delicately,1
faithful,16
true,88
james,231
sort,22
way,99
lax,1
frivolous,1
age,41
plenty,1
money,96
particular,38
principle,5
strong,28
each,40
individual,2
beenmrs,1
extent,3
isquite,1
estimable,1
harmless,5
wholly,2
ill,61
spoken,11
being,234
taken,84
relentlessness,1
hardly,28
exceeded,7
goodnature,9
rarely,7
attained,2
held,12
dissected,1
preparations,2
halfinnocent,1
meanness,4
scoundrelism,1
vanity,32
anywhere,5
else,16
found,161
used,41
word,117
indicates,1
virtue,59
shown,3
does,6
indicate,1
wet,3
dry,4
dead,18
thing,52
museum,1
mortuary,1
let,128
alive,17
palace,4
hall,3
eblis,1
beneficent,2
enchanter,1
puts,2
burning,3
hearts,10
subjects,12
torture,3
organisation,1
worse,36
infinitely,4
illustration,13
dedication,1
ralph,1
allen,1
esq,2
sirthe,1
following,34
sincerely,18
designed,6
promote,2
cause,79
expose,5
glaring,1
evils,10
well,435
public,34
private,23
present,122
infest,1
scarce,109
remember,84
stroke,1
aimed,1
person,162
throughout,1
properest,2
patron,3
attempt,30
readily,30
granted,4
nor,228
voice,42
divided,5
appellation,4
letter,172
thus,55
inscribed,1
detur,1
optimo,1
persons,48
wanted,20
direction,8
trouble,17
you,2890
preface,7
concerning,33
endeavour,25
obviate,1
criticisms,1
made,274
goodnatured,14
reader,81
heart,113
affected,36
pardon,78
receive,38
tender,64
sensation,5
stamp,2
discover,21
convinced,120
pleased,120
assume,2
fulsome,1
stile,9
dedicators,1
design,30
epistle,3
borrow,2
language,22
before,316
dreadful,43
circumstance,28
pen,15
just,98
yourself,110
incurring,1
flattery,7
bosoms,3
malignant,1
task,9
therefore,186
defer,4
till,132
unfortunate,19
every,195
pay,68
tear,6
satisfaction,40
curiosity,40
world,201
unconcern,2
accept,17
then,545
sir,287
small,31
token,1
love,197
gratitude,32
respect,32
esteem,26
my,2216
your,814
obliged,72
obedient,6
humble,12
servant,57
henry,1
bow,11
street,10
dec,1
2,2
1751,1
vol,5
chapter,166
containing,34
exordium,1
c,3
various,10
accidents,9
befel,6
worthy,50
couple,12
uniting,3
state,42
matrimony,2
distresses,14
waded,1
through,43
exquisite,10
incidents,8
produced,30
extraordinary,36
seemed,67
require,8
utmost,85
malice,22
invention,3
superstition,2
hath,395
attributed,3
fortune,113
interfered,4
