Words,Count
perch,32
of,3832
the,6399
devil,33
part,55
i,1775
shining,6
mountains,35
said,280
gregory,340
compton,125
softly,13
throwing,4
back,131
his,1266
head,107
eyes,164
travelling,6
along,39
hard,45
bright,13
outlines,1
above,54
high,65
valley,7
in,2130
which,207
ranch,81
lay,20
that,1784
is,645
what,357
indians,2
called,33
them,299
before,204
white,62
man,279
came,61
wife,84
yawned,6
frankly,5
pity,8
they,592
don’t,279
shine,4
inside,27
as,1165
well,217
outwhat,1
we’ve,13
got,140
em,23
who,234
knows,45
we,146
that’s,71
trouble,22
but,1177
although,147
she,1879
spoke,21
tartly,4
nestled,3
into,269
arm,13
for,1185
was,1611
not,735
unamiable,1
had,1583
been,407
married,57
sixteen,3
months,62
and,3962
still,92
fond,15
her,2114
husband,91
a,2943
way,108
moreover,23
cherished,5
resentments,1
open,47
secret,24
never,260
forgot,18
won,14
prize,2
men,271
go,223
many,109
girls,35
buttea,1
wanted,52
to,3477
marry,49
only,254
because,80
he,1764
inherited,6
eleven,7
hundred,51
sixty,7
acres,13
comprehensively,1
superior,9
other,155
young,87
class,28
graduated,4
from,366
school,52
then,183
after,191
three,68
years,99
work,92
on,704
under,69
unimaginative,3
father,35
announced,13
intention,20
leaving,11
state,52
unless,21
permitted,21
attend,8
mines,63
butte,225
old,148
by,353
this,414
time,256
taken,55
note,15
formation,1
son’s,2
jaw,7
gave,71
consent,7
rather,32
than,247
lose,20
last,89
children,19
two,173
semester,2
most,123
brilliant,25
figure,24
stampeded,1
small,44
farm,9
northern,1
new,165
york,51
sixties,1
meet,33
with,995
little,205
success,14
more,389
rancher,4
typical,3
hayseed,3
ever,115
punctuated,1
politics,7
tobacco,2
juice,2
front,21
corner,21
grocerystore,1
promised,14
deathbed,2
their,311
son,9
should,137
have,696
schooling,1
mrs,107
arrived,23
montana,78
soon,50
log,4
house,120
built,24
large,54
dark,30
silent,14
woman,203
whom,44
none,27
distant,10
neighbours,2
claimed,7
know,193
it,1359
currently,1
believed,19
village,2
whence,2
early,18
days,59
eighteenth,2
century,6
sturdy,1
verrooy,5
stock,8
abruptly,41
crossed,12
tribe,2
oneida,1
ancient,16
history,27
country,55
necessarily,3
enveloped,3
mist,3
lost,52
fair,11
nondescript,1
like,336
youngest,1
possessed,21
certain,33
characteristics,3
higher,13
type,15
indian,6
tall,5
lightly,17
graceful,2
supple,4
swift,7
foot,21
soft,22
tread,3
panther,1
skin,18
no,444
darker,1
average,7
brunette,2
acquired,8
significance,3
intense,17
blackness,5
hair,48
thin,22
aquiline,1
nose,8
long,192
narrow,25
severe,4
stolid,3
dignity,12
expression,23
even,178
earlier,6
seemed,31
knew,116
an,358
romantic,19
heroes,3
magazine,2
fiction,8
particularly,27
took,70
notice,14
until,118
met,59
ida,420
hook,19
at,709
picnic,4
surrendered,1
heart,40
forced,13
thrifty,2
mother,30
accept,8
employment,2
fashionable,10
dressmaker,4
consumed,1
envy,5
west,53
siders,2
whose,53
measurements,1
did,165
hesitate,2
longer,36
feminine,21
prudence,2
dictated,5
its,190
nightly,1
brushing,3
bold,6
unpedantic,1
hand,68
covered,18
several,79
sheets,4
pink,19
notepaper,1
legend,4
while,80
assured,9
herself,165
there,305
sweller,2
name,25
broadway,5
do,301
justice,5
also,54
thrilled,8
passion,32
vanity,23
responded,3
sombre,2
determined,24
attentions,2
indifferent,11
hero,3
so,367
maiden,2
dreams,24
longed,11
be,687
copper,47
queen,3
too,204
altogether,17
now,178
hour,54
come,143
every,128
enchantment,1
sex,21
awoke,5
bind,2
blind,7
mate,11
compton’s,14
indifference,17
women,152
pretended,1
real,55
occasional,5
wild,9
night,94
flat,23
interested,28
him,609
far,111
picnics,1
dances,12
where,104
used,16
better,70
grammar,9
sporting,12
were,444
less,67
amusing,6
went,95
please,21
friend,57
mark,149
blake,76
nine,8
mile,7
cañon,4
looked,131
very,103
green,25
alluring,4
june,11
rains,5
when,459
ridden,1
through,85
alone,64
day,103
moment,124
stood,59
staring,12
baffling,2
limpid,2
about,265
heavy,25
black,29
lashes,4
rose,25
fell,26
tangled,3
shot,11
apart,9
series,3
bedevilling,1
manœuvres,1
himself,104
intimate,10
soulseeking,1
desire,40
nothing,119
marriage,17
can,152
satisfy,4
kept,25
persistently,1
side,52
man’s,32
instinct,23
prompting,2
value,6
demand,9
interest,36
verbally,1
normal,5
one,399
nature,54
prompted,4
silence,9
would,514
