Words,Count
title,18
and,6849
prologue,11
to,4898
book,176
i,1326
here,94
beginneth,3
the,11392
volume,23
entitled,5
named,13
recuyell,3
of,8032
histories,23
troy,11
composed,13
drawn,16
out,244
divers,36
books,71
latin,30
into,271
french,66
by,1421
right,54
venerable,2
person,39
worshipful,4
man,337
raoul,2
le,18
feure,2
priest,15
chaplain,1
unto,65
noble,87
glorious,9
mighty,22
prince,25
in,3501
his,1502
time,293
philip,6
duke,17
burgundy,5
brabant,4
etc,7
year,20
incarnation,6
our,417
lord,68
god,240
a,2597
thousand,30
four,27
hundred,26
sixty,6
translated,36
english,114
william,9
caxton,8
mercer,2
city,20
london,13
at,580
commandment,8
high,39
virtuous,12
princess,4
redoubted,5
lady,30
margaret,3
grace,37
duchess,4
lotrylk,1
which,1756
said,193
translation,22
work,250
was,664
begun,16
bruges,4
county,2
flanders,4
first,290
day,95
march,4
eight,7
ended,9
finished,11
holy,42
cologne,4
19th,1
september,1
eleven,3
on,511
that,2683
other,473
side,25
this,1034
leaf,6
followeth,5
when,369
remember,23
every,212
is,2498
bounden,4
counsel,13
wise,39
eschew,3
sloth,5
idleness,9
mother,17
nourisher,1
vices,16
ought,61
put,51
myself,76
occupation,4
business,22
then,189
having,94
no,485
great,252
charge,15
following,40
took,30
read,80
therein,37
many,301
strange,29
marvellous,13
wherein,32
had,426
pleasure,92
delight,21
as,1538
well,173
for,1364
novelty,10
same,299
fair,22
language,190
prose,54
so,608
compendiously,1
set,78
written,73
methought,1
understood,36
sentence,13
substance,15
matter,92
much,244
new,117
late,23
made,187
never,144
seen,39
it,2096
tongue,22
thought,111
should,248
be,1671
good,147
translate,7
end,94
might,126
royaume,3
england,39
lands,2
also,144
pass,43
therewith,2
thus,134
concluded,7
begin,18
forthwith,5
pen,11
ink,4
began,19
boldly,7
run,9
forth,47
blind,13
bayard,1
present,129
trojan,2
afterward,11
remembered,9
my,409
simpleness,2
unperfectness,1
both,128
languages,26
wit,42
france,41
born,25
learned,38
kent,3
weald,1
where,126
doubt,39
not,1313
spoken,19
broad,11
rude,16
any,357
place,103
have,1131
continued,28
space,11
30,5
years,71
most,282
part,147
countries,11
holland,4
zealand,3
all,855
these,389
things,243
came,33
before,154
me,203
after,191
five,14
