Words,Count
the,3183
crystal,1
cup,3
chapter,50
i,1215
old,207
age,20
will,121
be,481
served,10
said,161
mrs,105
carteret,128
grimly,5
but,870
suppose,68
you,1084
think,135
am,74
a,2171
long,111
time,182
dying,4
gita,481
made,94
face,70
in,1286
heavy,15
shade,8
of,2068
bedhangings,2
replied,10
politely,2
glad,27
to,2152
here,76
grandmother,53
and,2756
when,240
it’s,76
my,259
turn,23
die,7
i’ll,117
take,82
all,301
choose,8
she,1705
had,1165
crisp,7
clear,16
voice,50
staccato,3
delivery,1
which,72
no,363
attempt,10
modify,1
sickroom,4
lady,20
frowned,15
never,195
cared,8
for,649
your,248
mother,78
soft,21
low,11
‘an,1
excellent,6
thing,56
woman,81
why,55
did,100
not,534
model,3
own,89
upon,31
it,870
do,203
can,76
distort,1
destroy,3
beauty,29
look,84
like,243
boy,24
women,64
were,328
dashing,2
brunettes,1
feminine,22
otherwise,8
they,244
would,341
have,490
men,133
crawling,1
at,518
their,139
feet,36
generation,9
after,129
if,441
crawled,1
feet—which,1
don’t,215
these,54
days,33
anyhow—i’d,1
kick,2
them,151
out,278
way,56
man,167
myself—and,2
wish,35
god,12
were—i’d,1
see,89
devil,6
before,105
i’d,91
make,82
fool,15
myself——,2
language,3
bobbed,4
hair——,1
hair,33
is,280
bad,27
enough,68
whatever,10
‘brooding,1
brows,15
quote,1
an,280
expression,22
read,30
silly,9
novel,22
boyish,8
defiant,3
bearing,1
ladylike,1
ugly,11
tailored,4
suits—i’ve,1
seen,42
with,669
single,2
adornment——,1
haven’t,26
told,65
hate—loathe—being,1
female,6
fiddlesticks,2
pretend,3
know,130
what,245
bee,1
you’ve,47
got,43
bonnet,2
you’ll,54
advice,9
pluck,2
too,125
late——,1
inside,12
skull,2
interrupt,1
me,258
manners,12
,445
you’re,62
same,34
spite,16
ridiculous,11
airs,1
notions,1
look—could,1
look—exactly,1
as,811
youth,22
was,1090
grandfather’s,3
second,13
cousin,2
fingertips—except,1
that,871
are,208
tall,8
fivefeeteight,1
must,98
quite,54
three,37
inches,3
shorter,1
belle,1
day,60
more,261
than,175
ever,64
unless,14
heed,2
late,13
gray,12
its,89
sudden,10
moments,12
vehement,1
life,166
trailed,2
off,94
her,1617
gaze,12
turned,53
inward,2
light,37
from,219
open,23
window,17
shone,2
on,459
high,41
pillows,3
ancient,6
fourpost,1
bed,28
looked,131
cold,38
appraisement,2
beautiful,23
once,118
perhaps,50
black,43
eyes,132
still,71
keen,13
bright,16
although,84
sunken,4
deep,18
sockets,1
yellow,9
crinkled,1
asiatic’s,1
bony,1
ridge,1
nose,12
thin,9
cheeks,11
seamed,1
thousand,8
little,91
wrinkles,1
mouth,20
pale,17
satiric,1
line,19
bird,1
prey,2
remnants,1
decided,12
worth,8
mental,13
effort,15
repad,1
firm,5
young,76
flesh,1
give,54
pedestal,2
swanlike,1
neck,12
or,185
any,95
other,91
absurdities,1
archaic,1
longingly,1
through,44
sunlight,5
up,201
mind,82
decent,11
rescued,3
poverty,3
heaven,12
knew,84
besides,13
admitted,6
grudgingly,2
blood,19
one,261
else,44
noblesse,3
oblige,3
moreover,13
rather,76
liked,22
this,221
newfound,1
relative,5
sharp,18
sarcastic,3
superannuated,1
been,327
affectionate,1
unendurable,5
manor,78
far,41
island,2
covered,10
by,214
atlantic,51
city,52
behind,34
shore,2
road,5
surrounded,5
sides,7
pine,7
woods,17
sea,3
east,3
there,163
storm,3
night,95
could,190
tossing,2
spray,1
hid,3
horizon,4
forgot,12
until,54
spoke,3
again,64
named,3
anyhow,21
triumphantly,3
first,94
daughter,8
every,60
son,4
always,100
father,22
break,8
tradition,7
especially,2
disliked,4
many,58
carterets,26
trace,3
thank,10
heaven——,1
won’t,39
hear,21
word,38
against,15
angel,1
martyr,1
father—i,1
care,21
he,872
son——,1
scallywag,1
deny,5
