Words,Count
introduction,1
the,622
publishing,1
history,3
of,379
this,79
translation,12
has,9
been,18
sketched,1
by,98
cross,2
in,249
his,119
henry,3
fielding,6
and,349
may,65
simply,2
be,147
summarized,1
here,27
first,25
edition,6
entitled,1
ovids,4
art,22
love,36
paraphrased,2
adapted,1
to,394
present,10
time,24
or,64
times,4
was,50
issued,1
february,1
1747,4
advertised,1
gentlemans,1
scots,1
magazines,1
that,97
month,2
during,2
march,2
further,3
advertisements,2
appeared,1
london,6
magazine,1
st,1
james,1
evening,2
post,1
most,16
extensive,1
notice,1
ran,2
however,15
fieldings,7
own,24
jacobite,1
journal,1
no,38
15,1
where,16
it,101
served,2
as,105
basis,1
for,135
a,260
detailed,1
comparison,1
between,7
jacobitism,1
anonymous,1
original,6
copy,2
is,155
known,7
1759,4
work,7
reissued,1
dublin,1
under,10
title,2
lovers,7
assistant,2
again,9
1760,3
meanwhile,1
had,21
run,5
publisher,1
andrew,1
millar,2
1754,2
1758,2
inasmuch,1
apparently,1
still,5
unsold,1
sheets,3
comprise,1
these,23
with,96
new,4
pages,1
prefatory,1
matter,6
necessary,6
because,1
death,3
at,69
any,33
rate,1
modern,5
instances,4
referred,2
author,10
preface,5
are,75
not,83
too,12
have,61
written,2
there,24
reprint,1
since,4
text,2
printed,1
from,47
collated,1
issue,1
latin,4
which,67
faces,2
english,3
omitted,2
notes,4
keyed,1
letters,2
asterisks,1
appear,3
will,101
noted,1
combine,1
scholarly,1
facetious,1
remarks,1
he,65
frequently,1
used,4
footnotes,1
comic,1
effect,2
especially,3
plutus,1
aristophanes,1
collaborated,1
literature,1
affords,1
few,1
pleasures,5
so,42
satisfying,1
translations,3
done,3
those,26
who,53
only,20
expert,1
languages,1
concerned,1
but,64
also,5
same,17
spirit,2
authors,4
they,33
translate,1
some,27
examples,4
come,9
readily,2
mind,7
popes,1
horace,3
drydens,4
juvenal,2
persius,1
smolletts,1
lesage,1
langs,1
aucassin,1
nicolette,1
pounds,1
provencal,1
such,15
felicitous,1
combination,1
appears,2
book,4
i,81
ars,2
amoris,2
throughout,1
sixteenth,1
seventeenth,1
centuries,1
translators,1
classics,3
abounded,1
including,1
marlowe,1
jonson,1
chapman,1
sandys,1
roscommon,1
waller,1
denham,1
cowley,1
dryden,2
1700,1
major,2
kinds,3
differentiated,1
described,1
evaluated,1
practised,1
summarize,1
wrote,1
follows,1
1680,1
epistles,1
translated,1
several,6
hands,12
all,60
suppose,2
reduced,1
three,3
heads,1
metaphrase,1
turning,1
an,34
word,9
line,2
one,40
language,3
another,14
second,2
way,8
paraphrase,4
latitude,1
kept,3
view,1
translator,2
never,20
lost,6
words,8
strictly,1
followd,1
sense,3
admitted,1
amplyfied,1
alterd,1
third,5
imitation,4
if,68
now,30
ie,2
taking,3
liberties,1
name,9
assumes,1
liberty,2
vary,1
sence,1
forsake,2
them,36
both,14
sees,3
occasion,10
general,7
hints,1
division,1
on,51
groundwork,1
pleases,4
doubtless,1
refers,1
verse,4
into,14
actually,1
verseintoprose,1
falls,3
within,2
when,38
speaks,1
undertaking,4
means,12
prose,2
earlier,1
1743,1
miscellanies,1
published,2
part,13
juvenals,1
sixth,1
satire,1
modernized,1
burlesque,1
hudibrastic,1
modernization,3
place,10
england,3
instead,1
italy,3
well,22
allowed,1
satirize,1
contemporaries,1
customs,2
age,12
four,1
years,5
later,2
turned,5
artis,1
amatoriae,1
found,5
even,12
better,15
medium,1
result,1
enjoyable,1
pot,1
pourri,1
roman,3
mythology,1
eighteenth,1
century,1
social,1
combined,1
patriotism,1
left,1
over,10
antijacobinism,1
fortyfive,1
devotion,1
constant,3
use,9
excited,1
comment,1
every,24
biographer,1
works,4
abound,1
classical,1
references,1
imitations,1
writing,3
includes,1
greek,3
library,1
austin,1
dobson,1
observed,1
rich,3
editions,2
curiously,1
sale,1
catalogue,1
lists,1
unidentifiable,1
ovid,3
item,1
contrasted,1
5,2
9,1
lucian,1
13,1
1504,1
1629,1
aristotle,1
probably,3
along,2
other,23
unlisted,1
possession,2
retained,2
family,1
given,4
friend,7
included,1
among,7
books,5
suggests,2
eye,3
surprising,1
how,12
much,14
visualization,1
many,30
incidents,1
resemble,1
treated,1
hogarth,1
whom,13
excellent,1
terms,1
resemblance,2
contemporaneous,1
materials,1
scenes,6
plays,1
novels,1
begun,1
ago,2
though,15
altered,1
places,7
before,14
introduced,3
being,16
applicable,1
exception,1
made,12
impurity,2
we,31
shall,24
transcribe,1
what,29
long,6
its,6
defence,1
prefixed,1
mr,6
poem,1
great,13
people,1
mistaken,1
tho,1
were,13
pretence,3
drive,3
court,3
augustus,1
confine,1
him,28
tomos,1
frontiers,1
getae,1
sarmatae,1
yet,11
true,5
cause,5
confinement,1
very,15
far,5
licentious,1
writings,1
poets,3
must,16
might,9
little,11
more,34
discreet,1
placesa,1
note,8
two,5
offended,2
romans,3
cannot,11
touch,5
us,10
always,12
dangerous,3
converse,1
women,12
honour,2
frequent,1
their,43
houses,1
than,34
tis,2
country,5
debauchery,1
would,19
ours,2
notwithstanding,3
said,5
against,9
overscrupulous,1
persons,3
whose,5
discretion,1
affectation,1
knowledge,2
tongue,1
concerning,2
contain,1
things,8
particular,2
noble,1
sentiments,1
find,9
gravest,1
learnedest,1
writers,1
thought,3
worthy,2
quoted,1
authorities,1
theres,1
nothing,12
comes,3
near,3
licence,1
epigrams,1
catullus,1
martial,1
ausonius,1
satires,1
pieces,2
ancient,2
read,4
commented,1
upon,15
about,13
celebrated,1
jesuits,1
religious,1
eminent,2
piety,1
erudition,2
employed,1
studies,1
condemnd,1
complaind,1
confess,1
should,22
managed,2
address,2
meddled,1
named,1
shewn,1
succeeding,1
happily,1
treatise,1
prescribd,1
remedy,1
liable,1
ill,2
interpreted,1
pens,1
poison,1
thing,9
bear,2
good,9
construction,1
know,8
turn,3
advantage,4
say,12
applyd,1
intend,3
marry,1
sure,14
decency,1
agree,1
you,190
extends,1
direct,2
gain,1
mistress,26
lawful,1
heretofore,1
account,2
jealous,2
humour,4
italians,1
reason,3
ought,7
forbidden,1
our,20
others,8
provided,1
could,2
ladies,6
modesty,1
youth,6
careful,2
exceed,1
bounds,2
respect,1
thats,1
due,1
add,3
objection,1
lies,3
latter,2
capable,2
offending,1
nicest,1
ear,2
regard,6
merit,2
entirely,3
perhaps,12
properly,1
encouraged,1
carried,5
observe,4
utmost,1
care,6
hath,34
taken,12
preserve,5
obliged,3
deviate,1
literal,1
whole,3
suppress,1
learned,2
men,5
persuing,1
viz,1
serve,4
explain,1
meaning,1
learner,1
numerous,1
commentators,1
arts,3
sciences,1
risen,1
perfection,1
gentleman,5
unskilled,1
loving,1
let,29
my,36
school,2
genius,5
soon,8
become,10
adept,1
young,13
gentlemen,3
think,5
unnecessary,1
1rules,1
conduct,2
ship,2
none,4
able,7
experienced,1
seamen,1
preferred,1
command,6
rules,2
make,17
coachman,1
ambition,1
excel,2
manner,7
required,1
chariot,4
pleased,5
venus,12
me,16
coachbox,1
captain,3
driver,1
am,10
indeed,12
master,7
cupid,3
wild,2
often,17
stubborn,2
child,2
disciplined,1
fierce,2
disposition,4
lad,2
judicious,1
schoolmaster,2
knows,4
correct,1
boy,1
afterwards,5
out,18
hero,1
patiently,1
submitted,3
lash,1
quietly,1
held,2
whipt,1
2,1
duke,1
william,3
3,1
himself,15
possibly,2
correction,1
4,1
hereafter,4
terror,2
enemies,2
afraid,6
tutor,1
pointz,1
preceptor,2
youths,3
elevated,1
birth,1
stoutest,1
ox,1
submits,1
yoke,2
fiery,1
horse,5
bridle,2
bend,2
bow,1
breast,1
shake,2
torches,1
nay,14
pierces,1
arrows,1
burns,1
severely,1
revenged,1
apollo,1
tell,7
readers,2
do,27
pretend,2
received,3
inspiration,1
parson,1
whitefield,1
6,1
miss,6
clio,1
7,1
her,177
eight,1
sisters,1
visit,2
nor,18
capacquaintance,1
write,4
experience,1
experto,1
crede,1
roberto,1
motto,1
promise,7
truth,5
form,3
sake,1
invoke,2
muse,1
herself,13
person,8
8,1
sweet,2
goddess,2
then,30
thou,16
smile,3
mean,2
prudes,1
your,139
screwd,1
considered,1
signs,4
hung,3
forth,6
door,1
virtue,4
like,9
house,7
desire,8
neither,3
favour,7
company,3
goodnaturd,1
girls9,1
without,10
blush,1
scholar,3
unexperienced,1
consists,1
principal,1
points,1
select,1
proper,6
secondly,2
win,1
affections,2
thirdly,2
mutual,1
affection,3
therefore,16
treat,1
speak,4
metaphorically,1
through,3
roads,1
undertaken,1
guide,2
choice,3
thee,6
alone,2
fixed,1
believe,14
fall,7
lap,1
look,4
sharp,1
eyes,9
assure,3
instruction,1
she,91
bad,2
huntsman,1
beat,3
royal,1
exchange,1
